<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20211029,000000,8986.0000000,9024.0000000,8762.0000000,8998.0000000,6479
AKRN,D,20211101,000000,8920.0000000,10288.0000000,8844.0000000,9950.0000000,32089
AKRN,D,20211102,000000,9900.0000000,9912.0000000,9488.0000000,9588.0000000,16207
AKRN,D,20211103,000000,9832.0000000,10160.0000000,8896.0000000,9300.0000000,34155
AKRN,D,20211105,000000,9418.0000000,9868.0000000,9398.0000000,9800.0000000,12038
AKRN,D,20211108,000000,9872.0000000,10066.0000000,9818.0000000,9870.0000000,9338
AKRN,D,20211109,000000,9948.0000000,9978.0000000,9574.0000000,9742.0000000,4809
AKRN,D,20211110,000000,9882.0000000,9882.0000000,9630.0000000,9692.0000000,2161
AKRN,D,20211111,000000,9784.0000000,10590.0000000,9610.0000000,10240.0000000,21056
AKRN,D,20211112,000000,10256.0000000,11400.0000000,10212.0000000,10332.0000000,22542
AKRN,D,20211115,000000,10588.0000000,11050.0000000,10216.0000000,11048.0000000,18716
AKRN,D,20211116,000000,11052.0000000,12884.0000000,11052.0000000,12608.0000000,65023
AKRN,D,20211117,000000,12672.0000000,13488.0000000,12012.0000000,12750.0000000,116923
AKRN,D,20211118,000000,12856.0000000,13240.0000000,11860.0000000,11972.0000000,47395
AKRN,D,20211119,000000,12112.0000000,12700.0000000,11826.0000000,12104.0000000,37716
AKRN,D,20211122,000000,12338.0000000,12350.0000000,11130.0000000,11800.0000000,36705
AKRN,D,20211123,000000,11870.0000000,12250.0000000,11412.0000000,12220.0000000,20681
AKRN,D,20211124,000000,12368.0000000,13100.0000000,12336.0000000,12950.0000000,24753
AKRN,D,20211125,000000,13324.0000000,13350.0000000,12734.0000000,13164.0000000,20996
AKRN,D,20211126,000000,12902.0000000,13332.0000000,12514.0000000,12804.0000000,15156
AKRN,D,20211129,000000,12978.0000000,13330.0000000,12850.0000000,13130.0000000,18904
AKRN,D,20211130,000000,13156.0000000,13252.0000000,12900.0000000,13000.0000000,8511
AKRN,D,20211201,000000,13200.0000000,13234.0000000,12450.0000000,12540.0000000,20938
AKRN,D,20211202,000000,12542.0000000,12800.0000000,12322.0000000,12444.0000000,11588
AKRN,D,20211203,000000,12382.0000000,12560.0000000,12220.0000000,12490.0000000,8488
AKRN,D,20211206,000000,12700.0000000,13086.0000000,12598.0000000,12888.0000000,19149
AKRN,D,20211207,000000,12804.0000000,13136.0000000,12766.0000000,12968.0000000,9097
